TAVG,FF_AVG,RH_AVG,SS,DDD_X,DDD_CAR,TAVG^2,TAVG FF_AVG,TAVG RH_AVG,TAVG SS,TAVG DDD_X,TAVG DDD_CAR,FF_AVG^2,FF_AVG RH_AVG,FF_AVG SS,FF_AVG DDD_X,FF_AVG DDD_CAR,RH_AVG^2,RH_AVG SS,RH_AVG DDD_X,RH_AVG DDD_CAR,SS^2,SS DDD_X,SS DDD_CAR,DDD_X^2,DDD_X DDD_CAR,DDD_CAR^2,RR
28.2,2.0,71.0,10.3,240.0,225.0,795.24,56.4,2002.2,290.46000000000004,6768.0,6345.0,4.0,142.0,20.6,480.0,450.0,5041.0,731.3000000000001,17040.0,15975.0,106.09000000000002,2472.0,2317.5,57600.0,54000.0,50625.0,0.0
28.7,2.0,67.0,5.7,210.0,225.0,823.6899999999999,57.4,1922.8999999999999,163.59,6027.0,6457.5,4.0,134.0,11.4,420.0,450.0,4489.0,381.90000000000003,14070.0,15075.0,32.49,1197.0,1282.5,44100.0,47250.0,50625.0,0.0
28.6,2.0,71.0,7.2,250.0,225.0,817.96,57.2,2030.6000000000001,205.92000000000002,7150.0,6435.0,4.0,142.0,14.4,500.0,450.0,5041.0,511.2,17750.0,15975.0,51.84,1800.0,1620.0,62500.0,56250.0,50625.0,0.0
29.6,1.0,74.0,6.9,250.0,0.0,876.1600000000001,29.6,2190.4,204.24,7400.0,0.0,1.0,74.0,6.9,250.0,0.0,5476.0,510.6,18500.0,0.0,47.61000000000001,1725.0,0.0,62500.0,0.0,0.0,0.0
29.3,1.0,76.0,7.5,280.0,0.0,858.49,29.3,2226.8,219.75,8204.0,0.0,1.0,76.0,7.5,280.0,0.0,5776.0,570.0,21280.0,0.0,56.25,2100.0,0.0,78400.0,0.0,0.0,0.0
29.6,1.0,69.0,7.4,280.0,0.0,876.1600000000001,29.6,2042.4,219.04000000000002,8288.0,0.0,1.0,69.0,7.4,280.0,0.0,4761.0,510.6,19320.0,0.0,54.760000000000005,2072.0,0.0,78400.0,0.0,0.0,0.2
28.9,2.0,63.0,7.8,160.0,180.0,835.2099999999999,57.8,1820.6999999999998,225.42,4624.0,5202.0,4.0,126.0,15.6,320.0,360.0,3969.0,491.4,10080.0,11340.0,60.839999999999996,1248.0,1404.0,25600.0,28800.0,32400.0,0.0
27.5,1.0,84.0,5.4,170.0,0.0,756.25,27.5,2310.0,148.5,4675.0,0.0,1.0,84.0,5.4,170.0,0.0,7056.0,453.6,14280.0,0.0,29.160000000000004,918.0000000000001,0.0,28900.0,0.0,0.0,2.8
27.6,1.0,84.0,2.3,270.0,270.0,761.7600000000001,27.6,2318.4,63.48,7452.0,7452.0,1.0,84.0,2.3,270.0,270.0,7056.0,193.2,22680.0,22680.0,5.289999999999999,621.0,621.0,72900.0,72900.0,72900.0,3.8
29.2,2.0,77.0,7.6,270.0,270.0,852.64,58.4,2248.4,221.92,7884.0,7884.0,4.0,154.0,15.2,540.0,540.0,5929.0,585.1999999999999,20790.0,20790.0,57.76,2052.0,2052.0,72900.0,72900.0,72900.0,0.0
29.5,2.0,67.0,3.8,180.0,135.0,870.25,59.0,1976.5,112.1,5310.0,3982.5,4.0,134.0,7.6,360.0,270.0,4489.0,254.6,12060.0,9045.0,14.44,684.0,513.0,32400.0,24300.0,18225.0,0.0
29.3,2.0,68.0,10.2,210.0,225.0,858.49,58.6,1992.4,298.86,6153.0,6592.5,4.0,136.0,20.4,420.0,450.0,4624.0,693.5999999999999,14280.0,15300.0,104.03999999999999,2142.0,2295.0,44100.0,47250.0,50625.0,0.0
28.8,2.0,72.0,9.2,280.0,225.0,829.44,57.6,2073.6,264.96,8064.0,6480.0,4.0,144.0,18.4,560.0,450.0,5184.0,662.4,20160.0,16200.0,84.63999999999999,2576.0,2070.0,78400.0,63000.0,50625.0,0.0
28.8,1.0,72.0,7.1,90.0,0.0,829.44,28.8,2073.6,204.48,2592.0,0.0,1.0,72.0,7.1,90.0,0.0,5184.0,511.2,6480.0,0.0,50.41,639.0,0.0,8100.0,0.0,0.0,0.0
27.7,1.0,82.0,8.1,210.0,0.0,767.29,27.7,2271.4,224.36999999999998,5817.0,0.0,1.0,82.0,8.1,210.0,0.0,6724.0,664.1999999999999,17220.0,0.0,65.61,1701.0,0.0,44100.0,0.0,0.0,0.0
28.2,2.0,74.0,2.3,270.0,270.0,795.24,56.4,2086.7999999999997,64.86,7614.0,7614.0,4.0,148.0,4.6,540.0,540.0,5476.0,170.2,19980.0,19980.0,5.289999999999999,621.0,621.0,72900.0,72900.0,72900.0,16.3
28.6,2.0,78.0,6.6,270.0,270.0,817.96,57.2,2230.8,188.76,7722.0,7722.0,4.0,156.0,13.2,540.0,540.0,6084.0,514.8,21060.0,21060.0,43.559999999999995,1782.0,1782.0,72900.0,72900.0,72900.0,0.0
29.1,2.0,68.0,9.7,110.0,270.0,846.8100000000001,58.2,1978.8000000000002,282.27,3201.0,7857.0,4.0,136.0,19.4,220.0,540.0,4624.0,659.5999999999999,7480.0,18360.0,94.08999999999999,1067.0,2619.0,12100.0,29700.0,72900.0,0.0
29.4,2.0,71.0,8.8,100.0,180.0,864.3599999999999,58.8,2087.4,258.72,2940.0,5292.0,4.0,142.0,17.6,200.0,360.0,5041.0,624.8000000000001,7100.0,12780.0,77.44000000000001,880.0000000000001,1584.0000000000002,10000.0,18000.0,32400.0,0.0
27.9,2.0,71.0,6.5,280.0,270.0,778.41,55.8,1980.8999999999999,181.35,7812.0,7533.0,4.0,142.0,13.0,560.0,540.0,5041.0,461.5,19880.0,19170.0,42.25,1820.0,1755.0,78400.0,75600.0,72900.0,0.0
28.2,2.0,68.0,7.7,210.0,270.0,795.24,56.4,1917.6,217.14,5922.0,7614.0,4.0,136.0,15.4,420.0,540.0,4624.0,523.6,14280.0,18360.0,59.290000000000006,1617.0,2079.0,44100.0,56700.0,72900.0,0.0
27.9,2.0,69.0,7.3,190.0,180.0,778.41,55.8,1925.1,203.67,5301.0,5022.0,4.0,138.0,14.6,380.0,360.0,4761.0,503.7,13110.0,12420.0,53.29,1387.0,1314.0,36100.0,34200.0,32400.0,0.0
27.9,2.0,72.0,4.5,150.0,135.0,778.41,55.8,2008.8,125.55,4185.0,3766.5,4.0,144.0,9.0,300.0,270.0,5184.0,324.0,10800.0,9720.0,20.25,675.0,607.5,22500.0,20250.0,18225.0,0.0
27.9,2.0,72.0,1.6,140.0,135.0,778.41,55.8,2008.8,44.64,3906.0,3766.5,4.0,144.0,3.2,280.0,270.0,5184.0,115.2,10080.0,9720.0,2.5600000000000005,224.0,216.0,19600.0,18900.0,18225.0,0.0
28.2,1.0,74.0,1.0,200.0,270.0,795.24,28.2,2086.7999999999997,28.2,5640.0,7614.0,1.0,74.0,1.0,200.0,270.0,5476.0,74.0,14800.0,19980.0,1.0,200.0,270.0,40000.0,54000.0,72900.0,0.0
29.4,1.0,70.0,4.9,200.0,90.0,864.3599999999999,29.4,2058.0,144.06,5880.0,2646.0,1.0,70.0,4.9,200.0,90.0,4900.0,343.0,14000.0,6300.0,24.010000000000005,980.0000000000001,441.00000000000006,40000.0,18000.0,8100.0,0.0
29.1,1.0,76.0,5.4,120.0,0.0,846.8100000000001,29.1,2211.6,157.14000000000001,3492.0,0.0,1.0,76.0,5.4,120.0,0.0,5776.0,410.40000000000003,9120.0,0.0,29.160000000000004,648.0,0.0,14400.0,0.0,0.0,12.0
